Date,Index price,ETF price,indicator,signal,raw weight,vol scale,final weight,position,delta position,NAV,drawdown
2026-01-08,25127.46,38710.00,1.08,5,1.00,0.77,0.77,0.50,0.00,8.65,0.0%
2026-01-09,25261.64,38870.00,1.08,6,1.00,0.92,0.92,0.92,0.43,8.67,0.0%
2026-01-12,25405.34,39085.00,1.16,6,1.00,1.00,1.00,1.00,0.08,8.71,0.0%
2026-01-13,25420.66,39080.00,0.91,6,1.00,1.00,1.00,1.00,0.00,8.71,-0.0%
2026-01-14,25286.24,38930.00,0.89,6,1.00,1.00,1.00,1.00,0.00,8.68,-0.4%
2026-01-15,25352.39,39045.00,0.74,6,1.00,1.00,1.00,1.00,0.00,8.70,-0.1%
2026-01-16,25297.13,38865.00,0.54,5,1.00,1.00,1.00,1.00,0.00,8.66,-0.6%
2026-01-19,24959.06,38395.00,0.01,5,1.00,0.72,0.72,1.00,0.00,8.56,-1.8%
2026-01-20,24703.12,38182.50,-0.53,5,1.00,1.00,1.00,1.00,0.00,8.51,-2.3%
2026-01-21,24560.98,37975.00,-0.76,5,1.00,1.00,1.00,1.00,0.00,8.47,-2.8%
2026-01-22,24856.47,38415.00,-0.48,5,1.00,0.55,0.55,0.55,-0.45,8.56,-1.7%
2026-01-23,24900.71,38215.00,-0.71,5,1.00,0.57,0.57,0.55,0.00,8.54,-2.0%
2026-01-26,24933.08,38387.50,-0.65,5,1.00,0.66,0.66,0.55,0.00,8.56,-1.8%
2026-01-27,24894.44,38435.00,-0.70,5,1.00,1.00,1.00,1.00,0.45,8.57,-1.7%
2026-01-28,24822.79,38180.00,-0.71,5,1.00,1.00,1.00,1.00,0.00,8.51,-2.3%
2026-01-29,24309.46,37360.00,-0.65,5,1.00,0.63,0.63,1.00,0.00,8.33,-4.4%
2026-01-30,24538.81,37675.00,-0.33,3,0.22,0.47,0.10,0.10,-0.90,8.40,-3.6%
2026-02-02,24797.52,38017.50,0.01,3,0.22,0.41,0.09,0.10,0.00,8.40,-3.5%
2026-02-03,24780.79,37915.00,0.12,3,0.22,1.00,0.22,0.10,0.00,8.40,-3.6%
2026-02-04,24603.04,37805.00,0.31,3,0.22,0.99,0.22,0.10,0.00,8.40,-3.6%
2026-02-05,24491.06,37777.50,0.24,3,0.22,1.00,0.22,0.10,0.00,8.40,-3.6%
2026-02-06,24721.46,38075.00,0.33,5,1.00,1.00,1.00,1.00,0.90,8.41,-3.5%
2026-02-09,25014.87,38625.00,0.42,5,1.00,0.93,0.93,1.00,0.00,8.53,-2.1%
2026-02-10,24987.85,38605.00,0.48,5,1.00,0.93,0.93,1.00,0.00,8.52,-2.2%
2026-02-11,24856.15,38385.00,0.31,5,1.00,0.68,0.68,1.00,0.00,8.47,-2.7%
2026-02-12,24852.69,38357.50,0.21,5,1.00,1.00,1.00,1.00,0.00,8.47,-2.8%
2026-02-13,24914.88,38452.50,0.29,5,1.00,1.00,1.00,1.00,0.00,8.49,-2.6%
2026-02-16,24800.91,38275.00,0.23,5,1.00,1.00,1.00,1.00,0.00,8.45,-3.0%
2026-02-17,24998.40,38770.00,0.44,5,1.00,0.88,0.88,1.00,0.00,8.56,-1.8%
2026-02-18,25278.21,39105.00,0.59,5,1.00,0.82,0.82,1.00,0.00,8.63,-0.9%
2026-02-19,25043.57,38817.50,0.41,5,1.00,0.73,0.73,1.00,0.00,8.57,-1.6%
2026-02-20,25260.69,39105.00,0.64,5,1.00,0.92,0.92,1.00,0.00,8.63,-0.9%
2026-02-23,24991.97,38735.00,0.29,5,1.00,0.89,0.89,1.00,0.00,8.55,-1.9%
2026-02-24,24986.25,38660.00,0.35,5,1.00,0.95,0.95,1.00,0.00,8.54,-2.0%
2026-02-25,25175.94,38927.50,0.44,5,1.00,0.97,0.97,1.00,0.00,8.59,-1.4%
2026-02-26,25289.02,39137.50,0.68,5,1.00,1.00,1.00,1.00,0.00,8.64,-0.8%
2026-02-27,25284.26,39407.50,0.68,5,1.00,1.00,1.00,1.00,0.00,8.70,-0.1%
2026-03-02,24638.00,38232.50,0.14,5,1.00,0.44,0.44,0.44,-0.56,8.44,-3.1%
2026-03-03,23790.65,36665.00,-0.52,5,1.00,0.49,0.49,0.44,0.00,8.29,-4.9%
2026-03-04,24205.36,37375.00,-0.37,3,0.22,0.40,0.09,0.44,0.00,8.36,-4.1%
2026-03-05,23815.75,36645.00,-0.17,3,0.22,0.46,0.10,0.44,0.00,8.29,-4.9%
2026-03-06,23591.03,36152.50,-0.46,3,0.22,0.70,0.15,0.44,0.00,8.24,-5.4%
2026-03-09,23409.37,35900.00,-0.87,3,0.22,1.00,0.22,0.44,0.00,8.21,-5.7%
2026-03-10,23968.63,36722.50,-0.57,3,0.22,0.81,0.18,0.44,0.00,8.30,-4.8%
2026-03-11,23640.03,36110.00,-0.82,3,0.22,0.78,0.17,0.44,0.00,8.24,-5.5%
2026-03-12,23589.65,36062.50,-0.84,3,0.22,0.83,0.18,0.44,0.00,8.23,-5.5%
2026-03-13,23447.29,35910.00,-0.98,5,1.00,1.00,1.00,1.00,0.56,8.22,-5.7%
2026-03-16,23564.01,36085.00,-0.89,5,1.00,1.00,1.00,1.00,0.00,8.26,-5.2%
2026-03-17,23730.92,36330.00,-0.65,5,1.00,1.00,1.00,1.00,0.00,8.31,-4.6%
2026-03-18,23502.25,36037.50,-0.92,5,1.00,1.00,1.00,1.00,0.00,8.25,-5.4%
2026-03-19,22839.56,34965.00,-1.43,5,1.00,0.95,0.95,1.00,0.00,8.00,-8.2%
2026-03-20,22380.19,34445.00,-1.73,4,0.92,1.00,0.92,1.00,0.00,7.88,-9.5%
2026-03-23,22653.86,34652.50,-1.69,4,0.92,0.95,0.88,1.00,0.00,7.93,-9.0%
2026-03-24,22636.91,34740.00,-1.54,4,0.92,1.00,0.92,1.00,0.00,7.95,-8.8%
2026-03-25,22957.08,35212.50,-0.95,4,0.92,1.00,0.92,1.00,0.00,8.06,-7.5%
2026-03-26,22612.97,34627.50,-1.09,4,0.92,1.00,0.92,1.00,0.00,7.92,-9.1%
2026-03-27,22300.75,34317.50,-1.38,4,0.92,0.98,0.90,1.00,0.00,7.85,-9.9%
2026-03-30,22562.88,34640.00,-0.99,4,0.92,1.00,0.92,1.00,0.00,7.93,-9.0%
2026-03-31,22680.04,35025.00,-0.64,4,0.92,1.00,0.92,1.00,0.00,8.01,-8.0%
2026-04-01,23298.89,35955.00,-0.18,4,0.92,1.00,0.92,1.00,0.00,8.23,-5.6%
2026-04-02,23168.08,35800.00,-0.23,4,0.92,0.82,0.76,1.00,0.00,8.19,-6.0%
2026-04-07,22921.59,35527.50,-0.54,4,0.92,0.64,0.59,1.00,0.00,8.13,-6.7%
2026-04-08,24080.63,37032.50,-0.11,2,0.00,0.51,0.00,0.00,-1.00,8.47,-2.8%
2026-04-09,23806.99,36710.00,-0.26,2,0.00,0.48,0.00,0.00,0.00,8.47,-2.8%
2026-04-10,23803.95,36837.50,-0.23,3,0.22,0.57,0.13,0.00,0.00,8.47,-2.8%
2026-04-13,23742.44,36635.00,-0.35,3,0.22,1.00,0.22,0.00,0.00,8.47,-2.8%
2026-04-14,24044.22,37080.00,-0.09,3,0.22,1.00,0.22,0.00,0.00,8.47,-2.8%
2026-04-15,24066.70,37125.00,0.03,5,1.00,1.00,1.00,1.00,1.00,8.47,-2.8%
2026-04-16,24154.47,37262.50,0.10,5,1.00,1.00,1.00,1.00,0.00,8.50,-2.4%
2026-04-17,24702.24,38145.00,0.51,5,1.00,0.95,0.95,1.00,0.00,8.71,-0.1%
2026-04-20,24417.80,37732.50,0.26,5,1.00,0.74,0.74,1.00,0.00,8.61,-1.2%
2026-04-21,24270.87,37440.00,0.00,5,1.00,0.73,0.73,1.00,0.00,8.54,-1.9%
2026-04-22,24194.90,37230.00,-0.32,5,1.00,1.00,1.00,1.00,0.00,8.50,-2.5%
2026-04-23,24155.45,37150.00,-0.54,5,1.00,1.00,1.00,1.00,0.00,8.48,-2.7%
2026-04-24,24128.98,37077.50,-0.86,5,1.00,1.00,1.00,1.00,0.00,8.46,-2.9%
2026-04-27,24083.53,36972.50,-0.94,5,1.00,1.00,1.00,1.00,0.00,8.44,-3.2%
2026-04-28,24018.26,36927.50,-1.08,5,1.00,1.00,1.00,1.00,0.00,8.43,-3.3%
2026-04-29,23954.56,36765.00,-1.36,5,1.00,1.00,1.00,1.00,0.00,8.39,-3.7%
2026-04-30,24292.38,37120.00,-1.11,5,1.00,1.00,1.00,1.00,0.00,8.47,-2.8%
2026-05-01,24292.38,37320.00,-1.11,5,1.00,1.00,1.00,1.00,0.00,8.52,-2.2%
2026-05-05,24401.70,37275.00,-1.08,5,1.00,1.00,1.00,1.00,0.00,8.51,-2.4%
2026-05-06,24918.69,38177.50,-0.63,5,1.00,0.56,0.56,0.56,-0.44,8.71,0.0%
2026-05-07,24663.61,37742.50,-0.56,5,1.00,0.41,0.41,0.56,0.00,8.66,-0.6%
2026-05-08,24338.63,37145.00,-0.84,6,1.00,0.35,0.35,0.56,0.00,8.58,-1.5%
2026-05-11,24350.28,37180.00,-0.76,6,1.00,0.67,0.67,0.56,0.00,8.59,-1.5%
2026-05-12,23954.93,36817.50,-0.89,6,1.00,0.68,0.68,0.56,0.00,8.54,-2.0%
2026-05-13,24136.81,36925.00,-0.81,6,1.00,0.85,0.85,0.56,0.00,8.55,-1.8%
